Date,Open,High,Low,Close,Adj Close,Volume
2018-01-15,79349.000000,79847.000000,79349.000000,79752.000000,79752.000000,1941000
2018-01-16,79751.000000,80246.000000,79668.000000,79832.000000,79832.000000,2982500
2018-01-17,79832.000000,81189.000000,79828.000000,81189.000000,81189.000000,3341200
2018-01-18,81185.000000,81367.000000,80498.000000,80963.000000,80963.000000,3429600
2018-01-19,80965.000000,81429.000000,80854.000000,81220.000000,81220.000000,3123200
2018-01-22,81220.000000,81675.000000,80923.000000,81675.000000,81675.000000,2693000
2018-01-23,81676.000000,81676.000000,80524.000000,80678.000000,80678.000000,3711200
2018-01-24,80679.000000,83680.000000,80679.000000,83680.000000,83680.000000,5503700
2018-01-25,80679.000000,83680.000000,80679.000000,83680.000000,83680.000000,0
2018-01-26,83680.000000,85531.000000,83680.000000,85531.000000,85531.000000,5410600
2018-01-29,85531.000000,85531.000000,84341.000000,84698.000000,84698.000000,3889600
2018-01-30,84697.000000,84697.000000,83804.000000,84482.000000,84482.000000,3566000
2018-01-31,84485.000000,86213.000000,84484.000000,84913.000000,84913.000000,4233500
2018-02-01,84913.000000,86028.000000,84833.000000,85495.000000,85495.000000,4085300
2018-02-02,85495.000000,85495.000000,83831.000000,84041.000000,84041.000000,3376900
2018-02-05,84040.000000,84311.000000,81861.000000,81861.000000,81861.000000,3253600
2018-02-06,81857.000000,84162.000000,80804.000000,83894.000000,83894.000000,5599100
2018-02-07,83894.000000,84410.000000,82548.000000,82767.000000,82767.000000,3886000
2018-02-08,82773.000000,83501.000000,81109.000000,81533.000000,81533.000000,4011400
2018-02-09,81532.000000,81897.000000,79690.000000,80899.000000,80899.000000,4283400
2018-02-14,null,null,null,null,null,null
2018-02-15,83551.000000,84686.000000,83551.000000,84291.000000,84291.000000,3489300
2018-02-16,84291.000000,84575.000000,83824.000000,84525.000000,84525.000000,3475800
2018-02-19,84525.000000,84956.000000,84525.000000,84793.000000,84793.000000,2088900
2018-02-20,84792.000000,86290.000000,84261.000000,85804.000000,85804.000000,4078100
2018-02-21,85804.000000,87358.000000,85804.000000,86052.000000,86052.000000,4815500
2018-02-22,86050.000000,87159.000000,86050.000000,86686.000000,86686.000000,3535700
2018-02-23,86690.000000,87345.000000,86138.000000,87293.000000,87293.000000,4178600
2018-02-26,87296.000000,88318.000000,87242.000000,87653.000000,87653.000000,4047100
2018-02-27,87649.000000,87839.000000,86613.000000,86935.000000,86935.000000,3534700
2018-02-28,86939.000000,87109.000000,85431.000000,85481.000000,85481.000000,5947100
2018-03-01,85337.000000,86260.000000,84640.000000,85378.000000,85378.000000,4341300
2018-03-02,85378.000000,85761.000000,83897.000000,85761.000000,85761.000000,3884300
2018-03-05,85292.000000,86165.000000,85053.000000,86023.000000,86023.000000,3425200
2018-03-06,86023.000000,86931.000000,85653.000000,85653.000000,85653.000000,3608600
2018-03-07,85653.000000,85653.000000,84397.000000,85484.000000,85484.000000,3456800
2018-03-08,85510.000000,85830.000000,84491.000000,84985.000000,84985.000000,3694700
2018-03-09,84987.000000,86389.000000,84749.000000,86371.000000,86371.000000,3481500
2018-03-12,86386.000000,87046.000000,86386.000000,86900.000000,86900.000000,2602900
2018-03-13,86902.000000,87333.000000,86119.000000,86384.000000,86384.000000,2735800
2018-03-14,86383.000000,86970.000000,85691.000000,86051.000000,86051.000000,2561000
2018-03-15,86051.000000,86051.000000,84720.000000,84928.000000,84928.000000,3840100
2018-03-16,84928.000000,85495.000000,84525.000000,84886.000000,84886.000000,5446200
2018-03-19,84886.000000,84886.000000,83678.000000,83913.000000,83913.000000,3330600
2018-03-20,83919.000000,84412.000000,83682.000000,84164.000000,84164.000000,2682000
2018-03-21,84166.000000,85145.000000,84080.000000,84977.000000,84977.000000,3260900
2018-03-22,84984.000000,85499.000000,84197.000000,84768.000000,84768.000000,3241700
2018-03-23,84766.000000,85450.000000,84042.000000,84377.000000,84377.000000,3176900
2018-03-26,84377.000000,85553.000000,84357.000000,85088.000000,85088.000000,2355600
2018-03-27,85103.000000,85296.000000,83542.000000,83808.000000,83808.000000,2948400
2018-03-28,83806.000000,83889.000000,82889.000000,83874.000000,83874.000000,2911400
2018-03-29,83874.000000,85708.000000,83874.000000,85366.000000,85366.000000,3150300
2018-04-02,85365.000000,85675.000000,84166.000000,84666.000000,84666.000000,2598500
2018-04-03,84669.000000,85411.000000,84210.000000,84623.000000,84623.000000,2579000
2018-04-04,84610.000000,84610.000000,82826.000000,84360.000000,84360.000000,2948300
2018-04-05,84374.000000,86148.000000,84374.000000,85210.000000,85210.000000,4257700
2018-04-06,85210.000000,85210.000000,83833.000000,84820.000000,84820.000000,3069100
2018-04-09,84832.000000,85110.000000,83155.000000,83307.000000,83307.000000,3174800
2018-04-10,83312.000000,84538.000000,83312.000000,84510.000000,84510.000000,3518700
2018-04-11,84494.000000,85417.000000,84340.000000,85246.000000,85246.000000,3370600
2018-04-12,85246.000000,85577.000000,85025.000000,85444.000000,85444.000000,2837000
2018-04-13,85441.000000,85441.000000,84144.000000,84334.000000,84334.000000,3504200
2018-04-16,84328.000000,84591.000000,82762.000000,82862.000000,82862.000000,2913400
2018-04-17,82862.000000,84191.000000,82810.000000,84086.000000,84086.000000,2628600
2018-04-18,84090.000000,86149.000000,84090.000000,85776.000000,85776.000000,4196900
2018-04-19,85775.000000,86059.000000,85197.000000,85824.000000,85824.000000,3522500
2018-04-20,85823.000000,85823.000000,85025.000000,85550.000000,85550.000000,2990100
2018-04-23,85520.000000,85746.000000,84711.000000,85602.000000,85602.000000,2426000
2018-04-24,85603.000000,86578.000000,85106.000000,85469.000000,85469.000000,2845000
2018-04-25,85466.000000,85466.000000,84349.000000,85044.000000,85044.000000,3218400
2018-04-26,85051.000000,86383.000000,85051.000000,86383.000000,86383.000000,3138000
2018-04-27,86383.000000,87179.000000,86262.000000,86445.000000,86445.000000,0
2018-04-30,86443.000000,86739.000000,85979.000000,86115.000000,86115.000000,2181000
2018-05-02,86111.000000,86111.000000,84383.000000,84547.000000,84547.000000,3720600
2018-05-03,84547.000000,84562.000000,83178.000000,83288.000000,83288.000000,3977800
2018-05-04,83286.000000,83671.000000,82746.000000,83118.000000,83118.000000,3472900
2018-05-07,83199.000000,83643.000000,82602.000000,82714.000000,82714.000000,2843000
2018-05-08,82715.000000,83409.000000,82201.000000,82956.000000,82956.000000,3949500
2018-05-09,82977.000000,84447.000000,82855.000000,84265.000000,84265.000000,4695400
2018-05-10,84284.000000,86201.000000,84284.000000,85861.000000,85861.000000,4611100
2018-05-11,85861.000000,86406.000000,85183.000000,85220.000000,85220.000000,4379700
2018-05-14,85222.000000,86105.000000,84688.000000,85232.000000,85232.000000,4080700
2018-05-15,85225.000000,85231.000000,83830.000000,85130.000000,85130.000000,4405100
2018-05-16,85122.000000,86678.000000,85044.000000,86537.000000,86537.000000,3707000
2018-05-17,86537.000000,86537.000000,83377.000000,83622.000000,83622.000000,5508600
2018-05-18,83614.000000,83614.000000,81391.000000,83082.000000,83082.000000,5730200
2018-05-21,83095.000000,83883.000000,81576.000000,81815.000000,81815.000000,4242200
2018-05-22,81817.000000,83396.000000,81613.000000,82739.000000,82739.000000,4785500
2018-05-23,82742.000000,82742.000000,80867.000000,80867.000000,80867.000000,3875500
2018-05-24,80860.000000,80860.000000,79027.000000,80122.000000,80122.000000,6182200
2018-05-25,80123.000000,80629.000000,78622.000000,78898.000000,78898.000000,4650100
2018-05-28,78886.000000,78886.000000,75337.000000,75356.000000,75356.000000,4176200
2018-05-29,75361.000000,77214.000000,75361.000000,76072.000000,76072.000000,5972300
2018-05-30,76058.000000,77097.000000,75515.000000,76754.000000,76754.000000,7442100
2018-06-01,76779.000000,78169.000000,75524.000000,77240.000000,77240.000000,6044400
2018-06-04,77244.000000,78637.000000,77244.000000,78596.000000,78596.000000,4023100
2018-06-05,78595.000000,78892.000000,76412.000000,76642.000000,76642.000000,4499800
2018-06-06,76641.000000,76967.000000,75518.000000,76117.000000,76117.000000,4871700
2018-06-07,76117.000000,76117.000000,71162.000000,73851.000000,73851.000000,7919200
2018-06-08,73848.000000,74031.000000,71679.000000,72942.000000,72942.000000,5952400
2018-06-11,72943.000000,73716.000000,71843.000000,72308.000000,72308.000000,3564300
2018-06-12,72308.000000,73322.000000,72124.000000,72754.000000,72754.000000,3889600
2018-06-13,72757.000000,72977.000000,71035.000000,72122.000000,72122.000000,4360200
2018-06-14,72151.000000,72708.000000,71344.000000,71421.000000,71421.000000,4281600
2018-06-15,71421.000000,71421.000000,69583.000000,70758.000000,70758.000000,6456800
2018-06-18,70757.000000,70757.000000,69360.000000,69815.000000,69815.000000,3475200
2018-06-19,69811.000000,72010.000000,69069.000000,71394.000000,71394.000000,5185300
2018-06-20,71397.000000,72617.000000,71155.000000,72123.000000,72123.000000,4414600
2018-06-21,72117.000000,72207.000000,70019.000000,70075.000000,70075.000000,3490800
2018-06-22,70077.000000,71058.000000,69907.000000,70641.000000,70641.000000,3054700
2018-06-25,70642.000000,71323.000000,69779.000000,70953.000000,70953.000000,3346300
2018-06-26,70968.000000,71622.000000,70203.000000,71405.000000,71405.000000,3502300
2018-06-27,71405.000000,72032.000000,70134.000000,70609.000000,70609.000000,3588900
2018-06-28,70609.000000,72092.000000,70439.000000,71767.000000,71767.000000,3511400
2018-06-29,71779.000000,73020.000000,71779.000000,72763.000000,72763.000000,3879400
2018-07-02,72763.000000,72840.000000,71935.000000,72840.000000,72840.000000,2753900
2018-07-03,72848.000000,74515.000000,72848.000000,73668.000000,73668.000000,3253800
2018-07-04,73667.000000,74904.000000,73450.000000,74743.000000,74743.000000,2142100
2018-07-05,74751.000000,75127.000000,73756.000000,74553.000000,74553.000000,3562800
2018-07-06,74558.000000,75065.000000,74048.000000,75010.000000,75010.000000,0
2018-07-10,75015.000000,75895.000000,74431.000000,74862.000000,74862.000000,3901000
2018-07-11,74862.000000,75025.000000,74196.000000,74399.000000,74399.000000,3766800
2018-07-12,74403.000000,75898.000000,74403.000000,75856.000000,75856.000000,3508500
2018-07-13,75856.000000,76682.000000,75554.000000,76594.000000,76594.000000,0
2018-07-16,76587.000000,76924.000000,76129.000000,76653.000000,76653.000000,3134700
2018-07-17,76653.000000,78522.000000,76482.000000,78130.000000,78130.000000,3882900
2018-07-18,78124.000000,78496.000000,77164.000000,77363.000000,77363.000000,3394300
2018-07-19,77360.000000,77487.000000,75890.000000,77487.000000,77487.000000,3781100
2018-07-20,77500.000000,79489.000000,77500.000000,78571.000000,78571.000000,4745200
2018-07-23,78571.000000,78639.000000,77871.000000,77996.000000,77996.000000,2446800
2018-07-24,78005.000000,79497.000000,78005.000000,79155.000000,79155.000000,3283200
2018-07-25,79154.000000,80437.000000,79154.000000,80218.000000,80218.000000,3472700
2018-07-26,80242.000000,80589.000000,79081.000000,79405.000000,79405.000000,3596500
2018-07-27,79405.000000,80251.000000,79405.000000,79866.000000,79866.000000,3015600
2018-07-30,79866.000000,80492.000000,79699.000000,80276.000000,80276.000000,2631400
2018-07-31,80279.000000,80279.000000,79016.000000,79220.000000,79220.000000,3354500
2018-08-01,79213.000000,79731.000000,78769.000000,79302.000000,79302.000000,3227100
2018-08-02,79237.000000,79896.000000,78573.000000,79637.000000,79637.000000,3005500
2018-08-03,79656.000000,81792.000000,79656.000000,81435.000000,81435.000000,3802600
2018-08-06,81445.000000,81765.000000,80965.000000,81051.000000,81051.000000,2516600
2018-08-07,81093.000000,81742.000000,79923.000000,80347.000000,80347.000000,3861200
2018-08-08,80347.000000,80912.000000,78966.000000,79152.000000,79152.000000,3833800
2018-08-09,79171.000000,79461.000000,78156.000000,78768.000000,78768.000000,3717400
2018-08-10,78766.000000,78766.000000,76043.000000,76514.000000,76514.000000,0
2018-08-13,76513.000000,77689.000000,75931.000000,77496.000000,77496.000000,3958200
